Actual Word,Potential Meaning,Frequency,Context Score,Timestamp
צהובה,מוחמד דף,28,0.82,2023-10-24 13:23:12
שחור,רפיח,88,0.78,2023-10-08 00:56:40
בודד,טיל נגד טנקים,78,0.52,2023-10-22 04:52:43
מחצבה,קו דיוח 897,51,0.16,2023-10-09 04:04:37
חמניות,נשק,55,0.15,2023-10-12 12:24:04
ציפור,עזה,45,0.38,2023-10-09 09:01:32
כלב,רימונים,88,0.83,2023-10-07 19:36:29
תפוז,ג׳בליה,16,0.73,2023-10-09 10:07:38
עוגה,טיל בליסטי,72,0.18,2023-10-21 05:10:55
דובדבן,ג׳בליה,20,0.56,2023-10-12 02:49:26
עוגה,רובה,49,0.7,2023-10-15 13:37:57
שחור,מוחמד דף,47,0.42,2023-10-07 04:02:03
פטריה,טיל נגד מטוסים,64,0.53,2023-10-16 09:26:37
תפוז,תחמושת,61,0.31,2023-10-17 21:30:22
עץ,ג׳יפ,93,0.3,2023-10-14 08:35:42
קודקוד,רובה,72,0.29,2023-10-17 07:11:31
שחור,רפיח,4,0.53,2023-10-16 06:13:27
כלב,נשק,16,0.15,2023-10-20 18:46:59
פיסטוק,רימונים,7,0.28,2023-10-18 04:16:20
עץ,רימון,100,0.55,2023-10-13 16:53:41
דובדבן,קו דיוח 453,77,0.75,2023-10-26 05:40:31
שפן,רימון,46,0.73,2023-10-20 14:27:29
כלב,קסאם,12,0.62,2023-10-16 13:47:57
שפן,טיל נגד טנקים,34,0.27,2023-10-17 05:08:02
דובדבן,מוחמד דף,12,0.14,2023-10-23 03:27:22
מחצבה,איסמעיל הנייה,96,0.84,2023-10-10 11:22:30
שחור,רקטה,31,0.47,2023-10-13 06:45:01
שחור,חיילים,37,0.11,2023-10-12 03:19:16
דובדבן,ג׳בליה,94,0.35,2023-10-19 01:00:17
ציפור,טיל נגד טנקים,62,0.29,2023-10-11 15:17:17
פטריה,נשק,73,0.36,2023-10-22 20:07:04
צהובה,עזה,11,0.57,2023-10-12 22:05:26
תפוז,רפיח,67,0.63,2023-10-22 23:55:05
בודד,רובה,37,0.52,2023-10-20 04:41:16
תפוז,רימון,20,0.27,2023-10-15 15:15:41
ציפור,נשק,24,0.54,2023-10-21 19:10:54
עוגה,איסמעיל הנייה,92,0.76,2023-10-24 10:41:22
ציפור,טיל נגד טנקים,20,0.44,2023-10-11 19:24:44
מחצבה,עזה,68,0.49,2023-10-26 22:58:50
פיסטוק,עזה,97,0.78,2023-10-10 21:05:30
תפוז,רימון,3,0.1,2023-10-21 09:37:53
מחצבה,תחמושת,19,0.64,2023-10-15 06:14:37
עץ,רקטה,43,0.41,2023-10-09 10:20:10
בודד,קו דיוח 897,34,0.42,2023-10-25 17:04:42
כלב,רימון,82,0.34,2023-10-21 07:01:21
מחצבה,מוחמד דף,33,0.22,2023-10-20 11:54:16
מחצבה,חיילים,3,0.62,2023-10-18 02:28:56
שפן,מוחמד דף,96,0.87,2023-10-22 22:05:01
עץ,רימון,57,0.72,2023-10-10 12:11:05
תפוז,מוחמד דף,38,0.48,2023-10-16 14:31:09
דובדבן,קו דיוח 897,57,0.55,2023-10-23 12:05:53
צהובה,נשק,95,0.26,2023-10-18 23:05:59
חמניות,טיל נגד טנקים,73,0.39,2023-10-09 11:00:22
פטריה,טיל נגד מטוסים,84,0.22,2023-10-10 23:19:56
חמניות,רקטה,97,0.25,2023-10-15 16:14:24
שחור,רימונים,53,0.42,2023-10-25 23:38:54
בודד,בסיס צה״ל,4,0.12,2023-10-26 18:55:29
חמניות,טיל בליסטי,6,0.29,2023-10-29 06:47:37
בודד,טיל נגד מטוסים,40,0.73,2023-10-23 11:32:57
כלב,רפיח,54,0.89,2023-10-17 10:41:55
שחור,ג׳בליה,25,0.78,2023-10-26 11:09:48
בודד,רובה,80,0.17,2023-10-18 16:35:04
שחור,נשק,66,0.31,2023-10-28 04:18:46
שפן,טיל נגד טנקים,58,0.15,2023-10-22 11:14:43
עוגה,מוחמד דף,20,0.49,2023-10-28 17:31:33
פיסטוק,תחמושת,100,0.89,2023-10-07 18:58:44
שחור,טיל נגד מטוסים,82,0.53,2023-10-07 11:29:58
מחצבה,קו דיוח 897,14,0.62,2023-10-21 18:21:28
פיסטוק,רקטה,6,0.12,2023-10-14 18:46:05
ציפור,רימונים,4,0.15,2023-10-12 02:16:24
ציפור,רפיח,2,0.46,2023-10-26 18:39:43
עוגה,טיל נגד טנקים,62,0.74,2023-10-21 07:50:36
תפוז,רקטה,45,0.87,2023-10-26 19:06:27
עץ,קו דיוח 162,24,0.83,2023-10-18 03:49:26
שפן,ג׳בליה,55,0.66,2023-10-26 15:40:01
פיסטוק,איסמעיל הנייה,25,0.71,2023-10-25 17:56:48
כלב,תחמושת,51,0.85,2023-10-10 13:47:49
פיסטוק,קו דיוח 162,73,0.23,2023-10-25 01:48:35
כלב,רימון,95,0.86,2023-10-13 13:56:47
דובדבן,ג׳יפ,35,0.52,2023-10-26 04:48:52
בודד,טיל נגד מטוסים,97,0.8,2023-10-20 13:58:48
ציפור,טיל נגד טנקים,1,0.56,2023-10-14 04:00:08
דובדבן,טיל נגד מטוסים,45,0.76,2023-10-22 07:36:05
בודד,בסיס צה״ל,30,0.77,2023-10-15 13:09:55
ציפור,טיל נגד מטוסים,27,0.29,2023-10-21 04:42:58
עץ,טיל בליסטי,45,0.18,2023-10-14 13:07:24
קודקוד,חיילים,32,0.64,2023-10-29 12:45:38
ציפור,קו דיוח 897,26,0.25,2023-10-28 14:10:48
עוגה,טיל בליסטי,8,0.68,2023-10-17 17:44:29
עץ,בסיס צה״ל,88,0.77,2023-10-16 17:56:03
שפן,בסיס צה״ל,14,0.59,2023-10-21 23:23:26
כלב,רפיח,96,0.35,2023-10-27 01:35:27
צהובה,ג׳יפ,74,0.18,2023-10-27 11:32:26
