Actual Word,Potential Meaning,Frequency,Context Score,Timestamp
דובדבן,ג׳בליה,82,0.62,2023-10-16 05:02:14
צהובה,נשק,60,0.15,2023-10-16 20:26:51
מחצבה,קו דיוח 162,89,0.86,2023-10-22 18:48:01
תפוז,רקטה,8,0.71,2023-10-26 01:39:34
פטריה,רקטה,31,0.24,2023-10-16 09:28:44
עוגה,חיילים,59,0.86,2023-10-16 08:05:21
דובדבן,טיל בליסטי,72,0.15,2023-10-16 03:21:41
פטריה,בסיס צה״ל,98,0.68,2023-10-14 09:36:27
צהובה,טיל נגד טנקים,11,0.54,2023-10-26 23:56:37
ציפור,רקטה,6,0.15,2023-10-16 23:26:20
צהובה,מוחמד דף,11,0.17,2023-10-13 14:19:36
עוגה,חיילים,97,0.11,2023-10-13 19:59:03
מחצבה,קסאם,100,0.27,2023-10-10 14:05:46
כלב,חיילים,14,0.37,2023-10-21 12:52:44
פיסטוק,הגבול הדרומי,90,0.87,2023-10-15 06:33:19
שפן,קו דיוח 897,74,0.67,2023-10-23 11:04:56
מחצבה,רימון,26,0.79,2023-10-19 09:21:12
עוגה,נשק,86,0.78,2023-10-09 02:27:12
פטריה,טיל בליסטי,36,0.44,2023-10-22 21:06:03
עוגה,קו דיוח 453,53,0.48,2023-10-18 07:11:37
כלב,ג׳בליה,56,0.2,2023-10-07 17:02:30
תפוז,רימון,18,0.42,2023-10-27 17:04:17
עוגה,רובה,94,0.33,2023-10-16 15:02:06
עץ,רימון,67,0.6,2023-10-10 12:03:58
פטריה,חיילים,27,0.62,2023-10-17 05:00:29
כלב,רימון,63,0.88,2023-10-10 15:47:13
חמניות,ג׳יפ,85,0.19,2023-10-28 14:30:34
פטריה,קו דיוח 162,33,0.5,2023-10-23 13:29:19
דובדבן,בסיס צה״ל,59,0.17,2023-10-18 04:15:53
ציפור,ג׳יפ,58,0.8,2023-10-22 04:01:31
פטריה,רקטה,82,0.13,2023-10-29 15:09:07
חמניות,תחמושת,34,0.71,2023-10-19 23:51:40
עוגה,קו דיוח 453,22,0.62,2023-10-09 18:55:30
שפן,טיל נגד טנקים,78,0.84,2023-10-21 17:30:37
