Actual Word,Potential Meaning,Frequency,Context Score,Timestamp
ציפור,עזה,73,0.42,2023-10-29 05:31:44
עוגה,מוחמד דף,4,0.36,2023-10-12 08:09:42
בודד,קו דיוח 162,98,0.11,2023-10-14 08:09:35
חמניות,רקטה,42,0.9,2023-10-25 16:45:53
מחצבה,קו דיוח 897,46,0.42,2023-10-25 14:47:32
שפן,עזה,74,0.53,2023-10-28 10:34:08
עוגה,רימונים,94,0.13,2023-10-22 07:24:47
מחצבה,טיל נגד מטוסים,52,0.41,2023-10-15 19:00:39
שחור,קו דיוח 897,89,0.17,2023-10-16 10:26:33
עוגה,רימונים,4,0.52,2023-10-29 03:24:56
ציפור,בסיס צה״ל,16,0.44,2023-10-14 11:39:40
ציפור,חיילים,21,0.34,2023-10-18 00:54:04
צהובה,נשק,31,0.88,2023-10-29 03:12:47
שפן,רימון,57,0.28,2023-10-11 20:57:28
דובדבן,חיילים,80,0.79,2023-10-10 08:38:31
עוגה,תחמושת,26,0.68,2023-10-24 13:07:13
שפן,מוחמד דף,55,0.52,2023-10-11 16:50:40
מחצבה,תחמושת,53,0.49,2023-10-29 19:46:09
קודקוד,קו דיוח 897,70,0.42,2023-10-07 09:29:06
עץ,טיל נגד מטוסים,46,0.79,2023-10-11 21:38:09
פיסטוק,רקטה,18,0.7,2023-10-12 14:18:01
עץ,ג׳יפ,96,0.68,2023-10-08 23:09:37
מחצבה,קו דיוח 453,39,0.86,2023-10-21 23:06:46
עוגה,טיל נגד מטוסים,7,0.43,2023-10-23 20:34:27
כלב,רימונים,28,0.81,2023-10-15 00:49:03
פיסטוק,רימונים,12,0.56,2023-10-13 19:47:22
מחצבה,טיל בליסטי,67,0.78,2023-10-21 20:20:24
מחצבה,ג׳יפ,46,0.68,2023-10-23 22:23:08
קודקוד,מוחמד דף,71,0.12,2023-10-09 10:23:44
שחור,טיל בליסטי,75,0.62,2023-10-17 06:55:17
שפן,תחמושת,62,0.59,2023-10-20 14:51:25
שחור,קו דיוח 162,63,0.29,2023-10-07 11:41:20
קודקוד,ג׳בליה,78,0.12,2023-10-10 08:41:14
עץ,רקטה,36,0.83,2023-10-09 07:04:10
קודקוד,קו דיוח 897,74,0.47,2023-10-12 14:00:57
קודקוד,רובה,42,0.51,2023-10-24 14:45:17
תפוז,טיל נגד מטוסים,92,0.81,2023-10-16 07:45:19
עוגה,תחמושת,35,0.64,2023-10-16 08:01:28
פטריה,קו דיוח 897,48,0.5,2023-10-13 00:00:58
קודקוד,עזה,62,0.16,2023-10-12 18:36:51
קודקוד,קו דיוח 897,18,0.3,2023-10-21 04:55:23
פטריה,מוחמד דף,100,0.12,2023-10-25 08:53:48
בודד,רובה,10,0.35,2023-10-18 00:56:00
צהובה,חיילים,13,0.55,2023-10-16 01:02:00
צהובה,ג׳יפ,78,0.87,2023-10-12 23:33:02
שחור,הגבול הדרומי,81,0.74,2023-10-27 20:25:18
עוגה,קו דיוח 453,56,0.69,2023-10-25 14:01:32
מחצבה,ג׳בליה,35,0.56,2023-10-23 19:25:59
פיסטוק,טיל נגד טנקים,77,0.42,2023-10-21 17:12:01
שפן,רובה,12,0.57,2023-10-13 18:55:08
שפן,נשק,91,0.24,2023-10-19 05:53:21
דובדבן,טיל נגד טנקים,34,0.7,2023-10-12 07:20:55
קודקוד,קו דיוח 162,28,0.54,2023-10-27 00:41:45
כלב,רימונים,8,0.24,2023-10-21 03:55:19
מחצבה,עזה,50,0.35,2023-10-25 18:59:37
עץ,קו דיוח 162,27,0.34,2023-10-14 21:02:07
קודקוד,הגבול הדרומי,56,0.34,2023-10-22 22:59:02
עוגה,רימונים,42,0.3,2023-10-23 09:24:48
שחור,רימונים,52,0.89,2023-10-13 02:14:56
פיסטוק,טיל נגד טנקים,71,0.63,2023-10-24 10:47:53
מחצבה,ג׳יפ,85,0.6,2023-10-08 10:55:02
פטריה,רימונים,59,0.3,2023-10-18 16:11:11
מחצבה,ג׳בליה,77,0.67,2023-10-24 06:28:58
צהובה,קו דיוח 897,12,0.18,2023-10-25 13:19:58
בודד,אקדח,39,0.79,2023-10-20 23:18:12
תפוז,נשק,46,0.86,2023-10-14 00:53:57
קודקוד,ג׳יפ,72,0.45,2023-10-12 16:44:39
כלב,טיל נגד טנקים,15,0.42,2023-10-09 18:41:40
קודקוד,חיילים,5,0.39,2023-10-17 20:47:59
פיסטוק,קסאם,26,0.12,2023-10-08 02:23:04
