Actual Word,Potential Meaning,Frequency,Context Score,Timestamp
חמניות,רימונים,17,0.73,2023-10-15 11:38:37
עוגה,חיילים,33,0.54,2023-10-16 15:48:25
צהובה,טיל נגד מטוסים,45,0.17,2023-10-25 11:50:09
שחור,קו דיוח 453,14,0.29,2023-10-14 17:43:07
בודד,קסאם,7,0.33,2023-10-07 20:39:23
פטריה,בסיס צה״ל,26,0.88,2023-10-16 23:13:57
מחצבה,קו דיוח 897,49,0.72,2023-10-23 17:45:04
צהובה,בסיס צה״ל,64,0.84,2023-10-25 05:15:55
פטריה,רקטה,14,0.54,2023-10-12 09:52:03
שפן,רימונים,64,0.84,2023-10-23 08:45:02
חמניות,בסיס צה״ל,83,0.66,2023-10-08 20:42:56
דובדבן,חיילים,12,0.73,2023-10-14 23:45:50
פיסטוק,איסמעיל הנייה,81,0.58,2023-10-29 16:48:03
עוגה,ג׳בליה,65,0.81,2023-10-12 15:51:20
בודד,קו דיוח 453,32,0.11,2023-10-23 11:37:42
עוגה,נשק,66,0.3,2023-10-29 18:38:14
עץ,אקדח,84,0.11,2023-10-12 11:24:14
בודד,קו דיוח 453,3,0.53,2023-10-13 00:56:38
מחצבה,מוחמד דף,73,0.77,2023-10-28 21:42:20
עץ,תחמושת,53,0.88,2023-10-15 20:18:59
תפוז,תחמושת,49,0.89,2023-10-22 02:52:29
שפן,קו דיוח 897,2,0.6,2023-10-12 18:40:27
שפן,איסמעיל הנייה,83,0.49,2023-10-10 03:57:08
קודקוד,רפיח,21,0.64,2023-10-14 10:44:10
פיסטוק,קו דיוח 453,28,0.21,2023-10-23 07:29:07
פטריה,תחמושת,54,0.15,2023-10-09 06:08:24
כלב,חיילים,99,0.83,2023-10-24 10:09:29
כלב,טיל נגד טנקים,16,0.69,2023-10-21 14:23:59
שחור,ג׳יפ,60,0.48,2023-10-14 13:14:37
עוגה,ג׳יפ,21,0.33,2023-10-13 03:22:06
דובדבן,נשק,10,0.75,2023-10-09 00:43:09
חמניות,רובה,89,0.73,2023-10-23 09:44:02
תפוז,רפיח,36,0.8,2023-10-18 22:29:09
עוגה,אקדח,47,0.16,2023-10-22 23:05:54
שחור,מוחמד דף,16,0.43,2023-10-12 10:38:51
ציפור,עזה,70,0.32,2023-10-25 17:40:09
שחור,טיל בליסטי,86,0.21,2023-10-20 21:11:32
דובדבן,קו דיוח 897,21,0.77,2023-10-08 14:15:45
פטריה,טיל נגד מטוסים,67,0.64,2023-10-22 11:16:42
קודקוד,קו דיוח 897,89,0.66,2023-10-13 23:43:10
פיסטוק,טיל נגד טנקים,38,0.88,2023-10-26 04:05:52
מחצבה,קו דיוח 162,89,0.34,2023-10-13 03:42:06
פטריה,רפיח,7,0.72,2023-10-10 02:59:01
קודקוד,ג׳בליה,67,0.29,2023-10-19 09:21:08
עץ,טיל בליסטי,83,0.56,2023-10-07 10:45:04
עץ,בסיס צה״ל,100,0.26,2023-10-25 12:02:11
מחצבה,בסיס צה״ל,43,0.51,2023-10-25 07:26:58
שחור,נשק,35,0.76,2023-10-22 05:47:04
פיסטוק,רימונים,18,0.78,2023-10-14 08:11:33
קודקוד,קו דיוח 897,12,0.58,2023-10-18 20:32:04
כלב,איסמעיל הנייה,90,0.58,2023-10-14 02:18:29
ציפור,חיילים,26,0.6,2023-10-12 15:09:29
בודד,בסיס צה״ל,60,0.63,2023-10-16 16:02:12
עץ,הגבול הדרומי,22,0.5,2023-10-16 05:24:25
קודקוד,רפיח,74,0.28,2023-10-22 06:54:04
פטריה,רימונים,79,0.55,2023-10-13 23:49:49
קודקוד,מוחמד דף,96,0.67,2023-10-29 04:48:22
ציפור,חיילים,25,0.36,2023-10-27 05:16:55
תפוז,טיל נגד טנקים,17,0.23,2023-10-26 03:44:49
פיסטוק,עזה,79,0.8,2023-10-24 19:08:13
כלב,טיל בליסטי,22,0.42,2023-10-18 16:23:12
חמניות,רובה,95,0.84,2023-10-17 02:03:46
עץ,קו דיוח 897,15,0.21,2023-10-13 08:57:56
מחצבה,הגבול הדרומי,71,0.17,2023-10-07 01:29:58
דובדבן,קו דיוח 453,74,0.81,2023-10-09 13:34:10
דובדבן,ג׳יפ,88,0.2,2023-10-28 14:56:15
שפן,טיל נגד טנקים,41,0.46,2023-10-23 22:41:59
חמניות,רקטה,50,0.68,2023-10-16 20:25:18
שפן,קו דיוח 897,58,0.14,2023-10-15 05:32:49
קודקוד,איסמעיל הנייה,75,0.59,2023-10-11 19:41:15
קודקוד,ג׳בליה,42,0.58,2023-10-26 01:41:27
צהובה,טיל נגד טנקים,91,0.31,2023-10-19 14:38:18
בודד,טיל בליסטי,1,0.77,2023-10-18 02:19:47
כלב,טיל בליסטי,64,0.31,2023-10-07 16:48:48
דובדבן,מוחמד דף,68,0.18,2023-10-21 11:02:45
פיסטוק,ג׳בליה,38,0.6,2023-10-09 00:46:11
בודד,טיל נגד טנקים,51,0.39,2023-10-15 06:17:11
עץ,רפיח,16,0.73,2023-10-22 08:42:29
תפוז,עזה,81,0.19,2023-10-15 21:13:25
כלב,טיל בליסטי,17,0.42,2023-10-24 23:32:54
בודד,קו דיוח 897,64,0.28,2023-10-22 07:53:05
שחור,רקטה,58,0.34,2023-10-26 01:59:55
כלב,נשק,20,0.6,2023-10-24 12:48:32
חמניות,טיל בליסטי,76,0.58,2023-10-29 12:34:12
שפן,ג׳בליה,19,0.18,2023-10-27 17:01:41
מחצבה,רפיח,28,0.4,2023-10-25 16:19:21
עוגה,עזה,66,0.42,2023-10-10 08:11:18
מחצבה,מוחמד דף,73,0.37,2023-10-27 23:40:07
קודקוד,ג׳יפ,61,0.69,2023-10-22 16:07:41
פיסטוק,נשק,40,0.54,2023-10-24 09:44:05
שפן,רימון,36,0.81,2023-10-10 08:23:04
שחור,רפיח,41,0.4,2023-10-20 17:07:21
ציפור,קו דיוח 897,59,0.83,2023-10-10 22:24:12
שפן,קו דיוח 453,82,0.41,2023-10-14 04:41:02
ציפור,ג׳יפ,60,0.29,2023-10-14 19:20:23
פטריה,נשק,52,0.69,2023-10-24 12:28:23
בודד,ג׳בליה,55,0.21,2023-10-26 10:19:41
שפן,אקדח,47,0.52,2023-10-18 17:56:21
דובדבן,מוחמד דף,84,0.33,2023-10-21 19:44:45
בודד,טיל בליסטי,1,0.69,2023-10-24 06:55:11
