Actual Word,Potential Meaning,Frequency,Context Score,Timestamp
שפן,רימונים,69,0.51,2023-10-28 22:44:51
עץ,בסיס צה״ל,94,0.79,2023-10-23 14:57:33
תפוז,טיל נגד טנקים,17,0.48,2023-10-12 14:00:21
עץ,רקטה,27,0.2,2023-10-19 08:35:52
פטריה,אקדח,7,0.17,2023-10-27 22:19:05
שחור,טיל נגד מטוסים,80,0.62,2023-10-15 22:35:38
תפוז,טיל נגד מטוסים,2,0.59,2023-10-24 21:53:51
ציפור,איסמעיל הנייה,39,0.15,2023-10-29 18:45:01
צהובה,עזה,63,0.86,2023-10-28 10:59:30
שחור,ג׳בליה,49,0.25,2023-10-29 03:17:53
ציפור,ג׳יפ,56,0.28,2023-10-22 07:39:57
מחצבה,חיילים,4,0.4,2023-10-18 01:56:52
דובדבן,עזה,58,0.26,2023-10-22 07:48:49
שפן,טיל נגד טנקים,46,0.18,2023-10-18 21:49:31
צהובה,קו דיוח 162,59,0.36,2023-10-17 21:28:01
עץ,קו דיוח 897,92,0.1,2023-10-11 21:38:05
צהובה,איסמעיל הנייה,7,0.43,2023-10-19 12:33:37
מחצבה,רימון,72,0.67,2023-10-21 15:55:47
תפוז,טיל בליסטי,10,0.47,2023-10-11 04:47:32
קודקוד,קו דיוח 897,10,0.37,2023-10-27 10:27:51
פיסטוק,טיל בליסטי,48,0.28,2023-10-16 13:14:33
שפן,רימונים,98,0.26,2023-10-19 05:45:14
שפן,אקדח,97,0.29,2023-10-20 10:17:20
צהובה,רימונים,31,0.88,2023-10-11 23:45:01
קודקוד,עזה,79,0.61,2023-10-12 18:30:26
בודד,רובה,59,0.42,2023-10-08 22:47:47
צהובה,ג׳בליה,67,0.68,2023-10-25 14:22:28
ציפור,הגבול הדרומי,64,0.61,2023-10-28 20:53:21
צהובה,הגבול הדרומי,86,0.69,2023-10-26 21:26:38
פיסטוק,תחמושת,78,0.64,2023-10-12 11:27:58
פטריה,קו דיוח 897,67,0.19,2023-10-15 06:29:11
ציפור,קו דיוח 162,99,0.34,2023-10-29 02:10:57
עץ,מוחמד דף,45,0.21,2023-10-16 21:49:17
ציפור,ג׳בליה,17,0.4,2023-10-29 18:04:35
