Actual Word,Potential Meaning,Frequency,Context Score,Timestamp
קודקוד,קסאם,2,0.42,2023-10-26 12:00:18
עץ,קו דיוח 897,42,0.26,2023-10-21 06:36:56
תפוז,מוחמד דף,47,0.75,2023-10-22 21:03:15
בודד,קו דיוח 453,87,0.56,2023-10-24 12:22:14
עוגה,הגבול הדרומי,92,0.31,2023-10-11 08:50:04
תפוז,מוחמד דף,51,0.18,2023-10-13 11:45:40
פטריה,תחמושת,41,0.87,2023-10-08 19:23:50
פטריה,תחמושת,80,0.5,2023-10-26 05:18:34
שחור,הגבול הדרומי,43,0.3,2023-10-07 21:48:20
פטריה,קו דיוח 162,52,0.28,2023-10-12 05:03:15
שחור,הגבול הדרומי,98,0.2,2023-10-15 11:57:06
תפוז,רובה,89,0.78,2023-10-13 06:00:10
פיסטוק,קסאם,44,0.33,2023-10-27 02:57:16
שחור,ג׳יפ,96,0.51,2023-10-25 12:33:44
שפן,רימונים,4,0.13,2023-10-22 17:07:38
דובדבן,ג׳יפ,35,0.16,2023-10-12 12:53:20
כלב,רקטה,61,0.56,2023-10-15 16:45:55
עץ,רובה,13,0.63,2023-10-24 13:55:23
פיסטוק,רימונים,62,0.23,2023-10-07 14:58:54
פטריה,רימון,93,0.62,2023-10-22 07:52:46
צהובה,קו דיוח 897,68,0.43,2023-10-24 17:20:51
קודקוד,טיל נגד טנקים,14,0.84,2023-10-29 03:35:28
דובדבן,רקטה,96,0.59,2023-10-10 17:30:14
בודד,הגבול הדרומי,42,0.5,2023-10-15 21:06:28
פיסטוק,אקדח,92,0.25,2023-10-29 05:46:42
עוגה,אקדח,80,0.13,2023-10-24 18:02:59
קודקוד,קו דיוח 162,70,0.14,2023-10-19 12:34:30
פטריה,מוחמד דף,10,0.14,2023-10-12 05:07:15
חמניות,מוחמד דף,67,0.66,2023-10-29 11:32:33
קודקוד,טיל נגד מטוסים,94,0.15,2023-10-27 19:19:31
כלב,רימונים,59,0.5,2023-10-12 11:55:47
עץ,טיל נגד מטוסים,67,0.62,2023-10-17 21:58:26
פטריה,קו דיוח 162,66,0.2,2023-10-25 18:21:26
דובדבן,רימונים,14,0.67,2023-10-10 00:48:36
עץ,תחמושת,18,0.54,2023-10-09 11:43:12
עץ,מוחמד דף,17,0.81,2023-10-23 15:38:15
מחצבה,ג׳יפ,1,0.18,2023-10-22 11:26:15
תפוז,נשק,83,0.9,2023-10-21 12:35:09
