Actual Word,Potential Meaning,Frequency,Context Score,Timestamp
ציפור,רפיח,35,0.6,2023-10-20 02:50:58
ציפור,ג׳יפ,85,0.62,2023-10-24 03:38:05
צהובה,בסיס צה״ל,81,0.23,2023-10-08 10:21:09
קודקוד,תחמושת,51,0.45,2023-10-15 03:59:59
פטריה,קסאם,81,0.44,2023-10-15 11:58:36
קודקוד,טיל בליסטי,85,0.42,2023-10-21 01:28:03
חמניות,הגבול הדרומי,79,0.17,2023-10-29 19:45:37
דובדבן,הגבול הדרומי,42,0.48,2023-10-23 02:09:04
עץ,טיל בליסטי,49,0.47,2023-10-29 15:43:42
שחור,מוחמד דף,97,0.14,2023-10-14 17:39:42
כלב,בסיס צה״ל,30,0.43,2023-10-07 08:13:17
פטריה,טיל נגד מטוסים,91,0.11,2023-10-22 00:26:35
שחור,קו דיוח 897,91,0.37,2023-10-13 00:27:08
פיסטוק,קו דיוח 897,24,0.49,2023-10-12 04:52:26
ציפור,רובה,53,0.36,2023-10-13 03:53:45
כלב,הגבול הדרומי,2,0.61,2023-10-15 11:30:34
פטריה,תחמושת,45,0.37,2023-10-28 11:58:44
פטריה,רימון,76,0.32,2023-10-09 11:26:04
עוגה,חיילים,13,0.47,2023-10-21 12:22:40
שפן,אקדח,27,0.81,2023-10-08 04:36:49
חמניות,מוחמד דף,13,0.58,2023-10-15 09:00:55
כלב,טיל בליסטי,7,0.55,2023-10-20 20:07:26
קודקוד,קו דיוח 453,18,0.53,2023-10-17 10:19:25
פטריה,קסאם,39,0.19,2023-10-24 05:03:01
בודד,נשק,1,0.17,2023-10-28 22:58:05
בודד,טיל נגד טנקים,75,0.54,2023-10-20 01:46:02
עוגה,ג׳יפ,40,0.48,2023-10-17 21:03:25
פטריה,רקטה,16,0.45,2023-10-08 01:41:15
כלב,רימון,74,0.79,2023-10-09 17:25:17
קודקוד,קסאם,96,0.42,2023-10-29 22:41:33
דובדבן,טיל נגד טנקים,63,0.34,2023-10-15 22:38:51
פיסטוק,טיל נגד מטוסים,84,0.31,2023-10-10 21:23:21
פטריה,קו דיוח 897,45,0.17,2023-10-24 13:49:43
דובדבן,איסמעיל הנייה,85,0.36,2023-10-24 04:22:48
חמניות,קו דיוח 162,12,0.7,2023-10-22 02:58:08
קודקוד,קסאם,43,0.85,2023-10-18 08:30:12
מחצבה,מוחמד דף,99,0.16,2023-10-24 06:15:32
עץ,מוחמד דף,28,0.19,2023-10-28 20:24:26
ציפור,חיילים,98,0.6,2023-10-26 11:34:27
מחצבה,תחמושת,15,0.45,2023-10-16 09:10:31
דובדבן,קו דיוח 162,37,0.6,2023-10-26 13:04:57
מחצבה,מוחמד דף,46,0.83,2023-10-18 22:48:53
דובדבן,עזה,58,0.65,2023-10-14 02:21:45
שחור,קו דיוח 897,77,0.22,2023-10-22 03:40:06
צהובה,בסיס צה״ל,90,0.64,2023-10-28 19:34:59
פטריה,עזה,80,0.23,2023-10-09 06:36:08
פטריה,בסיס צה״ל,83,0.85,2023-10-07 17:24:55
מחצבה,תחמושת,84,0.33,2023-10-29 03:09:51
מחצבה,עזה,44,0.59,2023-10-13 11:02:08
כלב,מוחמד דף,68,0.66,2023-10-18 21:24:16
שחור,קו דיוח 162,90,0.14,2023-10-29 21:18:27
צהובה,מוחמד דף,39,0.84,2023-10-16 08:09:41
קודקוד,קסאם,7,0.48,2023-10-13 08:43:07
חמניות,ג׳יפ,61,0.2,2023-10-09 07:35:06
מחצבה,רימון,96,0.24,2023-10-29 05:05:31
ציפור,איסמעיל הנייה,57,0.79,2023-10-14 02:28:36
חמניות,קו דיוח 162,30,0.65,2023-10-26 00:58:59
תפוז,קסאם,29,0.28,2023-10-17 00:35:49
מחצבה,חיילים,38,0.52,2023-10-13 05:08:48
פיסטוק,רימון,60,0.78,2023-10-20 06:56:04
צהובה,טיל נגד מטוסים,62,0.86,2023-10-20 20:18:27
תפוז,טיל נגד מטוסים,32,0.35,2023-10-20 10:57:07
שחור,טיל נגד מטוסים,28,0.6,2023-10-20 09:15:59
חמניות,מוחמד דף,44,0.89,2023-10-13 04:10:47
כלב,קו דיוח 453,39,0.67,2023-10-24 04:52:55
פיסטוק,טיל נגד טנקים,16,0.58,2023-10-19 22:30:47
בודד,קסאם,36,0.68,2023-10-24 04:47:31
קודקוד,רקטה,35,0.34,2023-10-09 07:31:01
כלב,בסיס צה״ל,67,0.53,2023-10-07 16:12:48
צהובה,הגבול הדרומי,54,0.84,2023-10-13 02:05:00
תפוז,רפיח,29,0.33,2023-10-20 10:16:07
חמניות,רימון,27,0.34,2023-10-27 15:00:44
תפוז,חיילים,43,0.84,2023-10-15 04:40:56
עוגה,טיל בליסטי,14,0.61,2023-10-20 08:07:51
בודד,מוחמד דף,36,0.82,2023-10-19 15:55:37
דובדבן,עזה,74,0.34,2023-10-26 11:55:20
צהובה,נשק,100,0.33,2023-10-20 02:46:20
כלב,רימונים,81,0.2,2023-10-25 22:03:39
כלב,בסיס צה״ל,76,0.67,2023-10-25 06:47:44
בודד,קו דיוח 897,91,0.58,2023-10-16 03:31:21
צהובה,קו דיוח 897,84,0.22,2023-10-11 23:04:38
מחצבה,קו דיוח 162,14,0.26,2023-10-24 22:22:00
פטריה,רובה,72,0.86,2023-10-27 20:06:52
פטריה,קו דיוח 162,35,0.12,2023-10-21 01:44:29
ציפור,אקדח,62,0.72,2023-10-11 05:56:05
חמניות,רפיח,96,0.76,2023-10-11 16:10:43
ציפור,טיל נגד מטוסים,34,0.12,2023-10-21 18:41:36
פטריה,אקדח,12,0.52,2023-10-23 04:05:33
בודד,קו דיוח 162,94,0.46,2023-10-17 19:34:13
קודקוד,קו דיוח 162,36,0.71,2023-10-28 07:32:16
כלב,רובה,47,0.72,2023-10-18 06:41:04
עץ,תחמושת,11,0.9,2023-10-27 04:56:08
תפוז,רפיח,12,0.73,2023-10-26 16:26:47
צהובה,בסיס צה״ל,66,0.52,2023-10-21 10:21:50
צהובה,אקדח,61,0.38,2023-10-26 07:00:11
שחור,רימון,92,0.15,2023-10-25 03:05:29
קודקוד,קו דיוח 453,41,0.52,2023-10-20 13:21:16
כלב,רקטה,63,0.88,2023-10-11 00:45:19
בודד,טיל נגד מטוסים,66,0.8,2023-10-18 05:27:03
ציפור,קו דיוח 453,86,0.59,2023-10-29 20:15:59
