Actual Word,Potential Meaning,Frequency,Context Score,Timestamp
שחור,רימונים,90,0.9,2023-10-20 21:29:15
קודקוד,ג׳יפ,59,0.14,2023-10-15 02:44:11
כלב,בסיס צה״ל,35,0.61,2023-10-20 10:20:51
צהובה,קסאם,82,0.57,2023-10-16 07:08:59
פיסטוק,קו דיוח 897,74,0.41,2023-10-09 03:12:19
חמניות,קו דיוח 453,75,0.29,2023-10-10 12:58:11
שפן,אקדח,27,0.67,2023-10-25 07:47:30
כלב,ג׳בליה,59,0.39,2023-10-09 00:10:20
תפוז,חיילים,24,0.88,2023-10-13 14:57:50
צהובה,קו דיוח 897,59,0.65,2023-10-10 14:55:32
ציפור,קו דיוח 897,25,0.61,2023-10-23 11:05:54
תפוז,רימון,87,0.34,2023-10-24 10:14:19
ציפור,קו דיוח 897,75,0.48,2023-10-13 12:56:01
שפן,בסיס צה״ל,94,0.83,2023-10-08 05:25:39
עוגה,בסיס צה״ל,9,0.75,2023-10-16 10:11:27
כלב,קו דיוח 453,61,0.59,2023-10-16 04:19:31
עץ,מוחמד דף,55,0.72,2023-10-23 21:03:01
עץ,קו דיוח 453,4,0.68,2023-10-09 10:50:47
שחור,בסיס צה״ל,8,0.41,2023-10-25 23:19:28
חמניות,קו דיוח 453,61,0.85,2023-10-10 14:15:06
עוגה,מוחמד דף,37,0.37,2023-10-27 14:53:35
פטריה,הגבול הדרומי,1,0.9,2023-10-10 23:12:08
פיסטוק,קו דיוח 162,79,0.31,2023-10-14 09:12:19
שפן,תחמושת,40,0.14,2023-10-25 07:16:41
מחצבה,ג׳בליה,25,0.77,2023-10-18 12:23:55
תפוז,הגבול הדרומי,4,0.5,2023-10-25 21:37:24
פיסטוק,מוחמד דף,72,0.43,2023-10-09 14:02:10
מחצבה,ג׳בליה,47,0.44,2023-10-07 17:28:01
כלב,חיילים,95,0.49,2023-10-25 01:48:54
פטריה,ג׳בליה,7,0.48,2023-10-23 05:18:54
תפוז,מוחמד דף,92,0.86,2023-10-16 19:23:04
פיסטוק,רפיח,78,0.55,2023-10-21 00:45:03
ציפור,הגבול הדרומי,8,0.57,2023-10-16 04:25:50
ציפור,אקדח,17,0.32,2023-10-16 10:40:20
עץ,חיילים,67,0.83,2023-10-14 20:12:06
שחור,ג׳בליה,8,0.24,2023-10-25 05:27:10
מחצבה,ג׳בליה,87,0.54,2023-10-20 11:26:19
שפן,רובה,44,0.41,2023-10-11 03:51:48
מחצבה,ג׳יפ,21,0.15,2023-10-20 14:04:16
מחצבה,תחמושת,94,0.77,2023-10-10 23:14:56
תפוז,ג׳יפ,62,0.86,2023-10-07 06:35:28
כלב,רובה,68,0.48,2023-10-28 06:18:35
קודקוד,ג׳בליה,75,0.78,2023-10-09 06:47:15
שפן,רימון,74,0.3,2023-10-07 06:12:42
דובדבן,ג׳בליה,54,0.48,2023-10-08 03:32:28
פטריה,נשק,92,0.32,2023-10-23 13:23:24
עוגה,בסיס צה״ל,8,0.28,2023-10-18 21:42:48
פיסטוק,רובה,80,0.89,2023-10-18 22:41:49
כלב,ג׳יפ,67,0.68,2023-10-18 09:55:56
עץ,אקדח,48,0.68,2023-10-07 06:38:09
עץ,טיל נגד מטוסים,3,0.84,2023-10-21 10:15:21
שחור,רפיח,32,0.74,2023-10-23 09:03:58
מחצבה,איסמעיל הנייה,85,0.24,2023-10-07 10:00:10
מחצבה,טיל בליסטי,74,0.19,2023-10-10 13:09:06
צהובה,חיילים,69,0.43,2023-10-20 16:21:08
חמניות,אקדח,82,0.57,2023-10-23 19:35:28
שפן,נשק,25,0.39,2023-10-23 23:46:43
תפוז,טיל נגד מטוסים,95,0.57,2023-10-14 21:53:59
בודד,תחמושת,88,0.6,2023-10-25 02:30:57
שחור,נשק,70,0.76,2023-10-07 21:14:55
פיסטוק,איסמעיל הנייה,45,0.16,2023-10-11 23:15:24
קודקוד,טיל נגד טנקים,13,0.85,2023-10-09 13:08:41
שחור,איסמעיל הנייה,32,0.79,2023-10-19 03:13:19
בודד,רפיח,13,0.81,2023-10-12 21:09:29
פטריה,תחמושת,93,0.41,2023-10-19 13:48:28
דובדבן,רפיח,92,0.35,2023-10-26 20:08:31
שחור,קו דיוח 162,50,0.53,2023-10-15 02:33:58
עוגה,רובה,74,0.5,2023-10-20 06:50:27
כלב,קסאם,34,0.75,2023-10-13 00:01:39
קודקוד,רובה,97,0.81,2023-10-28 15:18:12
עוגה,חיילים,77,0.74,2023-10-22 20:34:38
חמניות,איסמעיל הנייה,92,0.54,2023-10-26 23:29:36
בודד,ג׳בליה,3,0.65,2023-10-27 13:29:37
עץ,מוחמד דף,79,0.44,2023-10-08 00:28:10
בודד,רובה,16,0.23,2023-10-10 00:12:12
כלב,עזה,83,0.25,2023-10-21 18:49:03
דובדבן,טיל בליסטי,76,0.69,2023-10-26 14:03:00
שחור,תחמושת,90,0.59,2023-10-20 05:35:44
קודקוד,תחמושת,71,0.15,2023-10-27 10:21:40
עוגה,איסמעיל הנייה,6,0.39,2023-10-21 09:02:58
בודד,ג׳יפ,21,0.11,2023-10-20 09:54:42
דובדבן,רימון,95,0.38,2023-10-12 16:59:37
בודד,טיל נגד מטוסים,35,0.18,2023-10-07 20:44:47
מחצבה,חיילים,19,0.84,2023-10-29 19:56:21
כלב,טיל בליסטי,6,0.74,2023-10-08 21:55:52
חמניות,קו דיוח 897,27,0.39,2023-10-08 18:48:03
שפן,תחמושת,18,0.85,2023-10-13 02:46:52
בודד,בסיס צה״ל,92,0.75,2023-10-16 04:31:10
צהובה,רימונים,66,0.14,2023-10-12 12:15:23
שחור,רקטה,25,0.64,2023-10-17 00:39:26
צהובה,חיילים,19,0.27,2023-10-18 11:23:29
שחור,ג׳בליה,32,0.2,2023-10-20 06:42:20
פטריה,טיל נגד טנקים,73,0.21,2023-10-20 23:34:36
דובדבן,טיל נגד טנקים,48,0.13,2023-10-14 00:38:36
שחור,טיל בליסטי,53,0.65,2023-10-11 20:22:16
פיסטוק,רימונים,48,0.52,2023-10-12 07:53:07
שפן,חיילים,81,0.78,2023-10-18 17:12:16
עץ,טיל נגד טנקים,13,0.74,2023-10-21 09:06:45
חמניות,ג׳בליה,95,0.77,2023-10-29 20:49:33
