Actual Word,Potential Meaning,Frequency,Context Score,Timestamp
תפוז,עזה,61,0.66,2023-10-12 17:30:27
חמניות,חיילים,62,0.79,2023-10-22 17:32:28
פיסטוק,רפיח,74,0.9,2023-10-17 16:33:42
עץ,איסמעיל הנייה,72,0.43,2023-10-23 18:45:59
תפוז,רימון,75,0.27,2023-10-26 04:53:15
דובדבן,רימון,90,0.81,2023-10-08 01:36:56
דובדבן,טיל נגד טנקים,49,0.2,2023-10-27 17:19:09
שחור,עזה,59,0.15,2023-10-12 02:46:38
דובדבן,מוחמד דף,50,0.55,2023-10-16 08:45:23
כלב,רקטה,86,0.13,2023-10-07 09:54:14
קודקוד,עזה,31,0.32,2023-10-17 11:21:16
חמניות,קו דיוח 162,86,0.28,2023-10-26 11:27:14
צהובה,רובה,96,0.33,2023-10-15 18:40:48
שפן,רפיח,36,0.22,2023-10-28 14:44:19
שפן,אקדח,46,0.12,2023-10-23 23:48:49
כלב,רימון,39,0.28,2023-10-07 01:54:26
שפן,מוחמד דף,93,0.21,2023-10-15 19:42:39
עוגה,קו דיוח 897,93,0.52,2023-10-16 00:08:03
שחור,רימונים,12,0.69,2023-10-26 14:17:40
קודקוד,קו דיוח 162,23,0.23,2023-10-13 20:10:28
מחצבה,הגבול הדרומי,67,0.51,2023-10-19 20:50:57
קודקוד,עזה,80,0.7,2023-10-24 16:58:58
שפן,הגבול הדרומי,59,0.83,2023-10-11 13:35:42
צהובה,הגבול הדרומי,80,0.73,2023-10-25 05:31:07
שחור,טיל נגד מטוסים,51,0.71,2023-10-19 23:08:18
כלב,טיל נגד טנקים,83,0.25,2023-10-25 01:06:07
מחצבה,קו דיוח 162,84,0.8,2023-10-13 08:45:32
תפוז,ג׳יפ,3,0.6,2023-10-20 10:15:58
עץ,קו דיוח 162,41,0.78,2023-10-07 15:08:49
ציפור,טיל נגד טנקים,22,0.57,2023-10-22 08:23:57
עוגה,תחמושת,77,0.11,2023-10-14 04:11:02
קודקוד,טיל נגד מטוסים,20,0.64,2023-10-19 22:30:39
