Actual Word,Potential Meaning,Frequency,Context Score,Timestamp
פטריה,רקטה,75,0.26,2023-10-08 05:02:22
שחור,רימון,65,0.18,2023-10-12 08:55:09
צהובה,רפיח,5,0.45,2023-10-16 17:22:57
דובדבן,רימון,6,0.28,2023-10-10 19:20:35
תפוז,איסמעיל הנייה,50,0.5,2023-10-08 08:04:00
עוגה,טיל בליסטי,91,0.73,2023-10-14 12:10:44
שחור,עזה,91,0.46,2023-10-27 00:34:01
כלב,רקטה,17,0.78,2023-10-20 21:10:29
תפוז,רפיח,96,0.22,2023-10-16 21:04:08
פיסטוק,רפיח,38,0.75,2023-10-18 13:36:30
תפוז,קסאם,99,0.86,2023-10-29 15:07:34
פיסטוק,קו דיוח 162,42,0.15,2023-10-25 17:25:05
שחור,עזה,69,0.24,2023-10-27 13:54:56
שחור,רימון,23,0.71,2023-10-27 06:29:03
תפוז,הגבול הדרומי,31,0.61,2023-10-20 19:40:12
בודד,ג׳יפ,54,0.8,2023-10-28 03:14:48
מחצבה,טיל בליסטי,18,0.6,2023-10-27 15:28:11
עץ,קו דיוח 162,93,0.71,2023-10-29 08:37:14
עוגה,טיל נגד מטוסים,7,0.85,2023-10-10 05:16:50
פיסטוק,קו דיוח 162,40,0.23,2023-10-13 21:07:05
צהובה,טיל בליסטי,27,0.72,2023-10-07 01:05:18
שחור,רפיח,53,0.11,2023-10-28 11:38:44
כלב,קו דיוח 453,7,0.25,2023-10-22 16:09:25
דובדבן,מוחמד דף,45,0.67,2023-10-25 16:55:28
פיסטוק,קסאם,38,0.43,2023-10-13 10:56:37
ציפור,קו דיוח 453,78,0.31,2023-10-22 03:49:03
צהובה,רובה,57,0.39,2023-10-13 21:50:48
חמניות,קו דיוח 453,72,0.57,2023-10-18 17:06:02
עץ,עזה,42,0.29,2023-10-10 18:45:09
קודקוד,תחמושת,11,0.56,2023-10-17 13:11:59
עץ,נשק,10,0.12,2023-10-14 10:57:36
שחור,נשק,42,0.8,2023-10-10 20:03:21
דובדבן,רקטה,18,0.68,2023-10-16 02:38:34
דובדבן,עזה,74,0.16,2023-10-07 00:17:05
פטריה,הגבול הדרומי,80,0.66,2023-10-07 22:26:50
בודד,עזה,90,0.29,2023-10-09 22:56:36
שפן,רובה,18,0.21,2023-10-09 07:40:01
פיסטוק,תחמושת,17,0.19,2023-10-26 03:07:56
קודקוד,חיילים,73,0.11,2023-10-10 13:17:22
בודד,חיילים,55,0.72,2023-10-28 21:53:35
תפוז,איסמעיל הנייה,31,0.62,2023-10-29 19:19:51
כלב,תחמושת,41,0.24,2023-10-16 22:42:36
פיסטוק,טיל נגד מטוסים,70,0.89,2023-10-22 11:55:26
שפן,רימונים,95,0.89,2023-10-10 17:41:45
תפוז,הגבול הדרומי,36,0.17,2023-10-18 04:14:11
שפן,קו דיוח 897,27,0.26,2023-10-19 18:34:18
פטריה,בסיס צה״ל,21,0.46,2023-10-21 17:04:29
ציפור,ג׳בליה,28,0.47,2023-10-25 20:57:28
עץ,קסאם,19,0.57,2023-10-26 14:47:48
מחצבה,קו דיוח 897,17,0.64,2023-10-11 00:47:28
בודד,רקטה,84,0.33,2023-10-19 08:55:36
תפוז,רובה,9,0.73,2023-10-29 20:27:30
פטריה,הגבול הדרומי,29,0.31,2023-10-27 18:50:06
חמניות,אקדח,99,0.51,2023-10-23 07:07:16
שפן,טיל נגד טנקים,58,0.26,2023-10-21 08:24:59
מחצבה,איסמעיל הנייה,100,0.71,2023-10-15 17:36:21
פיסטוק,רובה,88,0.45,2023-10-24 21:34:00
צהובה,הגבול הדרומי,95,0.56,2023-10-19 19:51:47
תפוז,מוחמד דף,78,0.4,2023-10-20 21:58:15
פטריה,חיילים,91,0.28,2023-10-11 11:33:39
שפן,אקדח,27,0.38,2023-10-16 12:03:59
דובדבן,רימונים,32,0.45,2023-10-09 12:27:18
דובדבן,בסיס צה״ל,4,0.61,2023-10-28 11:49:59
עץ,רימונים,18,0.9,2023-10-07 20:37:33
שחור,ג׳יפ,33,0.16,2023-10-21 12:05:18
בודד,קו דיוח 453,32,0.32,2023-10-22 23:48:29
ציפור,אקדח,40,0.4,2023-10-10 15:15:03
שפן,טיל נגד טנקים,69,0.84,2023-10-23 06:06:24
שחור,טיל בליסטי,17,0.53,2023-10-11 20:01:19
עוגה,ג׳בליה,31,0.78,2023-10-21 03:16:46
שחור,טיל נגד מטוסים,16,0.14,2023-10-28 17:01:43
בודד,תחמושת,86,0.89,2023-10-21 00:33:39
שחור,ג׳בליה,35,0.58,2023-10-18 11:17:37
דובדבן,קסאם,18,0.35,2023-10-15 01:02:04
עוגה,ג׳יפ,51,0.8,2023-10-07 03:54:59
קודקוד,עזה,1,0.72,2023-10-16 02:34:03
מחצבה,טיל נגד טנקים,92,0.39,2023-10-12 08:13:16
ציפור,נשק,84,0.14,2023-10-22 14:41:22
עוגה,טיל בליסטי,93,0.69,2023-10-21 23:18:43
תפוז,רפיח,85,0.56,2023-10-12 19:52:33
צהובה,רפיח,17,0.73,2023-10-08 06:40:43
שפן,אקדח,21,0.31,2023-10-09 05:49:11
צהובה,מוחמד דף,52,0.3,2023-10-19 09:51:49
כלב,מוחמד דף,38,0.68,2023-10-12 15:19:13
פטריה,נשק,97,0.59,2023-10-28 00:19:21
עוגה,נשק,88,0.61,2023-10-11 15:33:58
פיסטוק,בסיס צה״ל,63,0.26,2023-10-09 05:18:50
בודד,הגבול הדרומי,23,0.71,2023-10-21 17:46:54
שפן,איסמעיל הנייה,10,0.63,2023-10-18 06:28:46
פטריה,קו דיוח 162,39,0.47,2023-10-17 23:26:24
חמניות,בסיס צה״ל,7,0.16,2023-10-29 19:45:36
דובדבן,טיל נגד מטוסים,14,0.51,2023-10-10 01:44:10
שפן,קו דיוח 453,54,0.51,2023-10-09 06:16:45
פטריה,ג׳יפ,41,0.67,2023-10-25 03:27:52
עוגה,טיל נגד טנקים,95,0.46,2023-10-23 23:22:06
תפוז,קו דיוח 897,74,0.73,2023-10-13 01:41:24
פיסטוק,מוחמד דף,50,0.36,2023-10-25 15:59:59
קודקוד,ג׳יפ,91,0.56,2023-10-23 21:03:58
פטריה,בסיס צה״ל,75,0.24,2023-10-26 03:50:55
ציפור,טיל נגד טנקים,63,0.45,2023-10-28 19:02:35
