Actual Word,Potential Meaning,Frequency,Context Score,Timestamp
שחור,טיל בליסטי,75,0.75,2023-10-29 18:57:50
תפוז,הגבול הדרומי,60,0.67,2023-10-16 09:30:48
עץ,קסאם,36,0.54,2023-10-25 12:42:32
פיסטוק,תחמושת,55,0.58,2023-10-10 14:19:55
פטריה,טיל נגד טנקים,63,0.44,2023-10-08 04:33:06
צהובה,קסאם,24,0.59,2023-10-10 20:25:24
ציפור,אקדח,58,0.16,2023-10-25 08:09:58
שפן,קו דיוח 897,70,0.38,2023-10-21 22:16:18
תפוז,רקטה,20,0.88,2023-10-12 09:46:52
בודד,עזה,5,0.62,2023-10-07 05:07:51
ציפור,רפיח,84,0.89,2023-10-19 21:25:17
פיסטוק,בסיס צה״ל,35,0.79,2023-10-13 09:28:27
פיסטוק,עזה,49,0.16,2023-10-16 07:21:50
קודקוד,רימון,8,0.19,2023-10-07 20:01:14
דובדבן,תחמושת,7,0.6,2023-10-28 01:33:06
תפוז,קו דיוח 897,99,0.79,2023-10-24 10:45:58
צהובה,קו דיוח 453,97,0.8,2023-10-14 00:57:29
שפן,הגבול הדרומי,43,0.12,2023-10-21 15:48:00
דובדבן,טיל נגד מטוסים,95,0.45,2023-10-13 17:36:15
כלב,רובה,74,0.74,2023-10-13 15:19:22
כלב,נשק,58,0.59,2023-10-14 13:17:49
שחור,מוחמד דף,76,0.44,2023-10-21 09:22:24
ציפור,רימונים,12,0.15,2023-10-22 06:40:35
כלב,רימון,83,0.34,2023-10-20 02:32:34
פטריה,עזה,5,0.88,2023-10-16 19:07:49
עוגה,קו דיוח 453,72,0.88,2023-10-19 20:06:32
קודקוד,איסמעיל הנייה,7,0.54,2023-10-26 21:53:01
פטריה,טיל נגד מטוסים,46,0.79,2023-10-24 22:03:25
פיסטוק,קסאם,8,0.48,2023-10-24 19:41:21
מחצבה,קסאם,93,0.18,2023-10-22 17:30:31
שחור,איסמעיל הנייה,4,0.2,2023-10-11 16:43:13
שפן,הגבול הדרומי,29,0.27,2023-10-16 01:13:13
כלב,עזה,44,0.46,2023-10-23 17:05:14
דובדבן,בסיס צה״ל,53,0.43,2023-10-10 20:44:43
שחור,רפיח,95,0.61,2023-10-12 19:39:52
פטריה,קו דיוח 162,23,0.73,2023-10-22 05:28:43
דובדבן,בסיס צה״ל,99,0.86,2023-10-22 19:59:48
דובדבן,רימונים,26,0.88,2023-10-18 02:14:08
צהובה,נשק,10,0.49,2023-10-15 23:56:41
תפוז,קו דיוח 897,21,0.37,2023-10-19 21:29:26
שחור,קו דיוח 897,52,0.82,2023-10-13 19:20:36
חמניות,רימון,25,0.76,2023-10-09 05:25:41
עוגה,עזה,64,0.55,2023-10-26 13:24:00
פיסטוק,קו דיוח 162,94,0.37,2023-10-07 18:04:24
כלב,נשק,32,0.27,2023-10-08 13:53:06
שחור,ג׳בליה,97,0.83,2023-10-14 01:43:57
מחצבה,קו דיוח 162,18,0.25,2023-10-21 19:28:15
כלב,קו דיוח 162,46,0.76,2023-10-17 17:00:51
מחצבה,רימון,82,0.58,2023-10-20 17:38:39
מחצבה,אקדח,69,0.8,2023-10-18 22:46:05
תפוז,נשק,25,0.88,2023-10-24 05:01:06
שחור,רימון,66,0.57,2023-10-15 00:46:03
מחצבה,נשק,80,0.75,2023-10-25 16:59:53
מחצבה,נשק,50,0.49,2023-10-13 10:25:18
בודד,הגבול הדרומי,39,0.86,2023-10-24 12:13:30
פטריה,ג׳בליה,46,0.43,2023-10-07 15:01:53
עוגה,רובה,35,0.59,2023-10-13 09:56:10
מחצבה,רפיח,15,0.56,2023-10-27 18:08:31
תפוז,רימונים,36,0.88,2023-10-25 09:31:33
כלב,הגבול הדרומי,63,0.69,2023-10-14 19:56:21
תפוז,טיל נגד מטוסים,79,0.7,2023-10-18 02:46:32
פטריה,רפיח,86,0.69,2023-10-20 18:13:09
עוגה,טיל בליסטי,29,0.8,2023-10-08 09:56:19
חמניות,אקדח,45,0.68,2023-10-21 18:01:27
תפוז,רפיח,92,0.31,2023-10-27 23:16:45
שחור,רובה,38,0.27,2023-10-09 12:16:23
עוגה,הגבול הדרומי,1,0.42,2023-10-29 17:47:18
שפן,ג׳יפ,89,0.15,2023-10-12 06:59:16
ציפור,חיילים,3,0.3,2023-10-23 23:14:09
צהובה,רקטה,72,0.67,2023-10-19 13:30:42
כלב,ג׳יפ,32,0.56,2023-10-08 22:52:54
פטריה,טיל נגד טנקים,54,0.32,2023-10-09 11:24:49
קודקוד,קו דיוח 162,38,0.63,2023-10-17 09:28:23
חמניות,רימונים,47,0.14,2023-10-16 15:51:31
פטריה,מוחמד דף,52,0.69,2023-10-26 16:23:46
עוגה,טיל נגד מטוסים,38,0.85,2023-10-17 11:49:47
ציפור,קסאם,5,0.19,2023-10-26 02:14:40
קודקוד,קו דיוח 897,25,0.79,2023-10-22 02:47:04
עץ,אקדח,3,0.52,2023-10-16 11:14:23
עץ,אקדח,56,0.53,2023-10-14 23:29:58
כלב,טיל נגד מטוסים,61,0.44,2023-10-14 12:52:39
פטריה,אקדח,99,0.5,2023-10-10 23:00:52
צהובה,רקטה,20,0.28,2023-10-19 01:54:27
צהובה,ג׳יפ,27,0.27,2023-10-10 13:36:22
דובדבן,קו דיוח 897,8,0.27,2023-10-12 19:40:12
עוגה,רימון,4,0.71,2023-10-16 19:11:50
בודד,טיל נגד מטוסים,45,0.75,2023-10-08 05:31:36
כלב,רפיח,93,0.7,2023-10-26 01:40:07
צהובה,רובה,29,0.76,2023-10-26 06:57:57
כלב,ג׳יפ,73,0.6,2023-10-26 02:37:14
מחצבה,טיל נגד מטוסים,62,0.76,2023-10-12 19:09:36
כלב,מוחמד דף,81,0.17,2023-10-22 04:06:33
דובדבן,ג׳בליה,21,0.61,2023-10-20 02:59:22
צהובה,רימונים,46,0.46,2023-10-14 00:17:22
פטריה,תחמושת,2,0.28,2023-10-23 23:45:21
צהובה,טיל נגד מטוסים,44,0.56,2023-10-17 07:31:40
עוגה,נשק,39,0.87,2023-10-28 08:59:07
שחור,עזה,57,0.6,2023-10-08 20:35:23
שפן,מוחמד דף,3,0.68,2023-10-09 10:51:42
צהובה,רובה,45,0.68,2023-10-15 12:35:48
