Actual Word,Potential Meaning,Frequency,Context Score,Timestamp
ציפור,נשק,11,0.29,2023-10-10 02:54:07
צהובה,איסמעיל הנייה,90,0.81,2023-10-14 04:10:20
שפן,חיילים,63,0.36,2023-10-18 10:53:45
שפן,קו דיוח 897,54,0.78,2023-10-13 16:37:15
פיסטוק,רימונים,6,0.77,2023-10-12 20:29:33
צהובה,תחמושת,5,0.51,2023-10-11 23:28:04
כלב,רפיח,5,0.59,2023-10-25 21:56:12
שפן,קסאם,53,0.34,2023-10-10 07:52:20
דובדבן,טיל בליסטי,75,0.46,2023-10-14 10:35:06
עץ,נשק,59,0.83,2023-10-18 03:23:46
עץ,הגבול הדרומי,68,0.18,2023-10-13 03:24:52
ציפור,טיל נגד מטוסים,11,0.74,2023-10-23 06:33:24
דובדבן,עזה,57,0.18,2023-10-08 01:08:29
דובדבן,רפיח,37,0.57,2023-10-27 19:45:02
פיסטוק,קו דיוח 897,43,0.88,2023-10-27 04:19:35
קודקוד,הגבול הדרומי,12,0.43,2023-10-09 05:13:45
חמניות,בסיס צה״ל,64,0.75,2023-10-10 01:00:40
דובדבן,רימונים,30,0.39,2023-10-29 09:01:13
שפן,טיל נגד טנקים,7,0.43,2023-10-27 23:27:30
ציפור,אקדח,1,0.29,2023-10-17 22:40:14
תפוז,קו דיוח 897,55,0.54,2023-10-23 05:47:31
בודד,טיל בליסטי,29,0.65,2023-10-28 12:10:13
צהובה,קסאם,49,0.15,2023-10-09 19:32:10
צהובה,בסיס צה״ל,2,0.29,2023-10-17 03:01:26
צהובה,רימון,87,0.61,2023-10-17 00:19:25
תפוז,הגבול הדרומי,25,0.9,2023-10-22 11:45:24
צהובה,מוחמד דף,72,0.44,2023-10-10 11:47:44
שפן,קו דיוח 162,41,0.39,2023-10-17 05:28:00
בודד,טיל בליסטי,34,0.35,2023-10-28 07:30:24
קודקוד,רימון,32,0.33,2023-10-13 19:34:01
דובדבן,הגבול הדרומי,23,0.22,2023-10-21 15:21:46
עץ,טיל נגד טנקים,46,0.88,2023-10-11 21:54:39
מחצבה,ג׳יפ,51,0.49,2023-10-28 10:13:57
פטריה,רקטה,82,0.6,2023-10-19 09:30:49
דובדבן,נשק,41,0.58,2023-10-29 15:09:29
דובדבן,תחמושת,7,0.12,2023-10-24 07:38:33
כלב,חיילים,77,0.37,2023-10-19 00:23:57
פיסטוק,עזה,20,0.87,2023-10-09 07:19:01
עץ,תחמושת,29,0.8,2023-10-08 23:26:18
קודקוד,רקטה,54,0.51,2023-10-22 07:26:18
דובדבן,טיל נגד טנקים,13,0.37,2023-10-22 03:26:40
ציפור,קסאם,90,0.85,2023-10-19 16:18:45
עוגה,ג׳יפ,46,0.66,2023-10-16 09:46:46
שפן,איסמעיל הנייה,15,0.41,2023-10-20 15:13:23
שפן,קו דיוח 162,73,0.18,2023-10-25 17:19:49
