Actual Word,Potential Meaning,Frequency,Context Score,Timestamp
עוגה,קסאם,7,0.5,2023-10-13 20:00:10
ציפור,ג׳יפ,86,0.2,2023-10-22 13:37:53
שפן,תחמושת,20,0.28,2023-10-22 22:55:23
פטריה,קו דיוח 453,33,0.42,2023-10-12 13:10:14
שפן,איסמעיל הנייה,4,0.2,2023-10-11 23:54:56
שפן,חיילים,25,0.55,2023-10-26 00:50:45
מחצבה,הגבול הדרומי,87,0.17,2023-10-28 20:45:41
קודקוד,מוחמד דף,35,0.84,2023-10-10 07:10:19
בודד,אקדח,19,0.28,2023-10-29 08:35:30
בודד,נשק,77,0.36,2023-10-22 10:00:57
פיסטוק,חיילים,37,0.74,2023-10-11 08:04:52
עץ,רובה,74,0.2,2023-10-19 15:07:56
פטריה,רימון,15,0.78,2023-10-22 04:39:53
דובדבן,מוחמד דף,65,0.34,2023-10-18 05:28:05
בודד,בסיס צה״ל,30,0.72,2023-10-07 02:42:17
פטריה,רימונים,37,0.57,2023-10-26 20:24:25
עץ,רימון,18,0.51,2023-10-26 23:44:57
צהובה,רקטה,76,0.65,2023-10-19 20:16:22
קודקוד,רפיח,49,0.52,2023-10-18 12:00:47
קודקוד,עזה,95,0.78,2023-10-22 04:56:44
שחור,רימונים,87,0.46,2023-10-16 03:41:15
שחור,קו דיוח 162,61,0.26,2023-10-08 05:38:51
תפוז,קו דיוח 897,97,0.6,2023-10-27 07:52:43
עץ,ג׳יפ,27,0.3,2023-10-28 23:19:52
עץ,חיילים,29,0.5,2023-10-08 15:05:21
צהובה,עזה,60,0.8,2023-10-23 02:20:16
דובדבן,תחמושת,96,0.28,2023-10-22 03:27:06
קודקוד,ג׳בליה,20,0.46,2023-10-13 15:54:47
שחור,רימון,56,0.53,2023-10-22 03:34:35
בודד,נשק,27,0.13,2023-10-22 01:12:03
בודד,קו דיוח 162,36,0.53,2023-10-13 15:18:55
שפן,רובה,25,0.6,2023-10-11 23:55:06
פיסטוק,רובה,71,0.19,2023-10-22 17:46:20
פיסטוק,איסמעיל הנייה,73,0.25,2023-10-16 18:31:36
פטריה,קסאם,84,0.8,2023-10-20 20:10:36
חמניות,טיל נגד מטוסים,2,0.67,2023-10-24 22:39:09
פטריה,טיל בליסטי,90,0.27,2023-10-09 17:55:04
דובדבן,אקדח,99,0.36,2023-10-11 22:52:26
עוגה,הגבול הדרומי,57,0.18,2023-10-26 00:11:01
צהובה,רימון,5,0.72,2023-10-29 00:50:14
כלב,בסיס צה״ל,31,0.32,2023-10-07 10:41:22
פטריה,ג׳בליה,45,0.47,2023-10-15 07:29:31
דובדבן,תחמושת,69,0.15,2023-10-22 11:01:31
עוגה,עזה,92,0.86,2023-10-29 12:41:42
